model_id,condition,n,format_ok_rate,rag_context_used_rate,pass_rate,partial_rate,fail_rate,openai_correctness_mean,openai_relevancy_mean,openai_faithfulness_mean,openai_ctx_precision_mean,openai_ctx_recall_mean,openai_ctx_relevancy_mean,anthropic_correctness_mean,anthropic_relevancy_mean,anthropic_faithfulness_mean,anthropic_ctx_precision_mean,anthropic_ctx_recall_mean,anthropic_ctx_relevancy_mean,model_display
gpt-5-mini,no_rag,20,0.15,0.0,0.1,0.05,0.85,0.175,0.14285714285714285,,,,,0.08499999999999999,1.0,,,,,GPT-5 Mini
gpt-5-mini,rag_gated,20,0.35,0.8,0.05,0.1,0.85,0.185,0.31875,0.9754464285714286,0.5296875,0.3594494047619048,0.6836260810785457,0.135,0.9944444444444445,,,,,GPT-5 Mini
gpt-5-mini,rag_always,20,0.35,1.0,0.15,0.1,0.75,0.265,0.3388888888888889,0.9350793650793652,0.5255,0.36041666666666666,0.6656286311118589,0.2,0.9888888888888889,,,,,GPT-5 Mini
gpt-5.2,no_rag,20,1.0,0.0,0.2,0.2,0.6,0.49000000000000005,0.9315487358170286,,,,,0.385,0.9473809523809524,,,,,GPT-5.2
gpt-5.2,rag_gated,20,1.0,0.8,0.15,0.2,0.65,0.445,0.9735698125404009,0.8453096382783882,0.5473958333333333,0.3672619047619048,0.6620303769861082,0.36,1.0,,,,,GPT-5.2
gpt-5.2,rag_always,20,0.95,1.0,0.2,0.05,0.75,0.44000000000000006,0.9456025102348631,0.8579212454212455,0.5229999999999999,0.34672619047619047,0.6585491827692107,0.34500000000000003,0.9681881598793364,,,,,GPT-5.2
claude-sonnet,no_rag,20,1.0,0.0,0.25,0.15,0.6,0.48,0.951388888888889,,,,,0.305,0.9958333333333333,,,,,Claude Sonnet 4.5
claude-sonnet,rag_gated,20,1.0,0.8,0.3,0.1,0.6,0.51,0.9528125,0.8918393993998832,0.5417708333333333,0.35007440476190477,0.6746161332826148,0.40499999999999997,0.9769578134284016,,,,,Claude Sonnet 4.5
claude-sonnet,rag_always,20,1.0,1.0,0.2,0.05,0.75,0.465,0.9487968333266321,0.9238622080533846,0.5338888888888889,0.3113095238095238,0.6905262808881761,0.37,0.9818137254901961,,,,,Claude Sonnet 4.5
gemini-3-flash,no_rag,20,1.0,0.0,0.15,0.15,0.7,0.43499999999999994,0.8862274311945365,,,,,0.34500000000000003,0.9944444444444445,,,,,Gemini 3 Flash
gemini-3-flash,rag_gated,20,1.0,0.8,0.15,0.15,0.7,0.44000000000000006,0.9040387426900585,0.7634320175438596,0.5802083333333333,0.3787202380952381,0.7141993371387985,0.355,0.9108333333333334,,,,,Gemini 3 Flash
gemini-3-flash,rag_always,20,1.0,1.0,0.15,0.15,0.7,0.41500000000000004,0.8941181077694236,0.7742230576441103,0.5033333333333333,0.33422619047619045,0.6746221689359847,0.34500000000000003,0.9172619047619047,,,,,Gemini 3 Flash
grok-4.1-fast,no_rag,20,0.85,0.0,0.1,0.25,0.65,0.395,0.7917887667887669,,,,,0.32,0.8150000000000001,,,,,Grok 4.1 Fast
grok-4.1-fast,rag_gated,20,0.9,0.8,0.1,0.05,0.85,0.38,0.7882738095238095,0.9542857142857143,0.5306666666666666,0.3764430014430014,0.6547256408775574,0.315,0.8767045454545455,,,,,Grok 4.1 Fast
grok-4.1-fast,rag_always,20,0.9,1.0,0.1,0.1,0.8,0.38,0.7734848484848484,0.8606902356902357,0.5019444444444444,0.3505291005291005,0.6614768782776063,0.31,0.8454545454545455,,,,,Grok 4.1 Fast
kimi-k2.5,no_rag,20,1.0,0.0,0.25,0.2,0.55,0.5,0.8789833916083916,,,,,0.34500000000000003,0.8813749730661495,,,,,Kimi K2.5
kimi-k2.5,rag_gated,20,1.0,0.8,0.2,0.15,0.65,0.47000000000000003,0.9584511434511434,0.9173390151515152,0.5598263888888888,0.3787202380952381,0.6661593342486618,0.34500000000000003,0.9545238095238096,,,,,Kimi K2.5
kimi-k2.5,rag_always,20,1.0,1.0,0.25,0.1,0.65,0.465,0.9538932880844646,0.8325133689839571,0.5063333333333333,0.33630952380952384,0.6514837639701319,0.365,0.9908088235294118,,,,,Kimi K2.5
medgemma-27b,no_rag,20,1.0,0.0,0.05,0.15,0.8,0.29500000000000004,0.7692182772424708,,,,,0.23500000000000001,0.9012810994804111,,,,,MedGemma 27B
medgemma-27b,rag_gated,20,1.0,0.8,0.15,0.1,0.75,0.38,0.8824242424242424,0.9263248847926268,0.5287499999999999,0.39694940476190477,0.6915476336072974,0.29500000000000004,0.8378571428571429,,,,,MedGemma 27B
medgemma-27b,rag_always,20,1.0,1.0,0.05,0.2,0.75,0.365,0.7732575757575757,0.8471130952380953,0.5115416666666667,0.3404761904761905,0.6817362991788808,0.29,0.8241071428571429,,,,,MedGemma 27B
gemma3-27b,no_rag,20,0.0,0.0,0.0,0.0,1.0,0.25,0.8583928571428572,,,,,0.21000000000000002,0.945,,,,,Gemma 3 27B
gemma3-27b,rag_gated,20,0.0,0.8,0.0,0.0,1.0,0.28,0.9080800960735171,0.9286889097744361,0.5229166666666667,0.42038690476190477,0.6723779592790126,0.255,0.9605827067669173,,,,,Gemma 3 27B
gemma3-27b,rag_always,20,0.0,1.0,0.0,0.0,1.0,0.29,0.8917606516290727,0.9024749373433585,0.5275000000000001,0.3613095238095238,0.6608289162391072,0.27999999999999997,0.9303571428571429,,,,,Gemma 3 27B
qwen3-30b-a3b,no_rag,20,1.0,0.0,0.05,0.1,0.85,0.28500000000000003,0.8488780663780664,,,,,0.23500000000000001,0.8784848484848485,,,,,Qwen3-30B-A3B
qwen3-30b-a3b,rag_gated,20,0.95,0.8,0.0,0.15,0.85,0.34500000000000003,0.7926796497584541,0.8665922619047619,0.5274479166666667,0.38132440476190477,0.654627526534044,0.265,0.8245959595959595,,,,,Qwen3-30B-A3B
qwen3-30b-a3b,rag_always,20,0.95,1.0,0.05,0.15,0.8,0.355,0.7832043650793651,0.8246590909090908,0.5102222222222222,0.3279761904761905,0.6848906928777608,0.28500000000000003,0.8495959595959596,,,,,Qwen3-30B-A3B
phi-4,no_rag,20,1.0,0.0,0.05,0.15,0.8,0.31,0.9149122807017545,,,,,0.25,0.8631202204228521,,,,,Phi-4 (14B)
phi-4,rag_gated,20,1.0,0.8,0.05,0.15,0.8,0.3,0.85875,0.8903388278388278,0.5265625,0.36681547619047616,0.6946098262425575,0.27,0.89375,,,,,Phi-4 (14B)
phi-4,rag_always,20,1.0,1.0,0.05,0.1,0.85,0.31,0.8887499999999999,0.8644505494505494,0.49466666666666664,0.3425595238095238,0.6601312098775031,0.275,0.9208712121212121,,,,,Phi-4 (14B)
gpt-oss-20b,no_rag,20,0.0,0.0,0.0,0.0,1.0,0.335,0.9192028840888368,,,,,0.225,0.962954014939309,,,,,GPT-OSS (20B)
gpt-oss-20b,rag_gated,20,0.0,0.8,0.0,0.0,1.0,0.39,0.8854074378289806,0.8909429036037492,0.5484375,0.3073660714285714,0.6546526257195674,0.3,0.9882555178268252,,,,,GPT-OSS (20B)
gpt-oss-20b,rag_always,20,0.0,1.0,0.0,0.0,1.0,0.42000000000000004,0.9192166704187164,0.8523838942588944,0.5438333333333334,0.3550595238095238,0.683457377066805,0.325,0.9901299408652349,,,,,GPT-OSS (20B)
